Filename|Target|CorrectAnswer
5unmarried||Yes
5preconceived||Yes
5marinade||Yes
5episode||Yes
5likelihood||Yes
5apprehend||Yes
5haphazard||Yes
5coincide||Yes
5alongside||Yes
5household||Yes
5unparalleled||Yes
5invalid||Yes
5correspond||Yes
5profound||Yes
5overload||Yes
5accuracy||Yes
5renaissance||Yes
5nuclear||Yes
5receiver||Yes
5finance||Yes
5finally||Yes
5company||Yes
5initially||Yes
5listener||Yes
5assurance||Yes
5arrival||Yes
5alliance||Yes
5luminous||Yes
5memory||Yes
5pioneer||Yes
5funeral||Yes
5numerous||Yes
5partially||Yes
5alcohol||Yes
5clinical||Yes
5similar||Yes
5newspaper||Yes
5aluminum||Yes
5avenue||Yes
5hangover||Yes
5enemy||Yes
5symphony||Yes
5monopoly||Yes
5amazing||Yes
5privacy||Yes
5hoopiver||No
5merosie||No
5cemenery||No
5finizen||No
5rassipal||No
5afacus||No
5infrish||No
5occury||No
5neliver||No
5paffenser||No
5neramis||No
5eseven||No
5smavery||No
5amolish||No
5acrosas||No
5asoral||No
5anaconva||No
5concipher||No
5lipron||No
5falimia||No
5enfline||No
5soloramo||No
5monsero||No
5vommonly||No
5liramis||No
5almerian||No
5sonference||No
5zeneva||No
5memorfis||No
5hamiral||No
5flokira||No
5oserver||No
5asyluff||No
5imifation||No
5feerray||No
5avanar||No
5arrofral||No
5manover||No
5silemma||No
5faulosical||No
5musfular||No
5confipence||No
5veleran||No
5afforney||No
5kismosis||No
