Filename|Target|CorrectAnswer
5exclusion||Yes
5verify||Yes
5composer||Yes
5unlikely||Yes
5vacuum||Yes
5mercury||Yes
5safari||Yes
5reasoning||Yes
5reappear||Yes
5resonance||Yes
5heroism||Yes
5pessimism||Yes
5specialize||Yes
5phenomenon||Yes
5serious||Yes
5animal||Yes
5unhappy||Yes
5consumer||Yes
5feminine||Yes
5formula||Yes
5emotional||Yes
5opinion||Yes
5vehicle||Yes
5civilian||Yes
5polaris||Yes
5allowance||Yes
5scenery||Yes
5horizon||Yes
5essential||Yes
5usually||Yes
5cohesive||Yes
5forever||Yes
5careful||Yes
5philosopher||Yes
5enormously||Yes
5emperor||Yes
5seemingly||Yes
5infancy||Yes
5european||Yes
5camera||Yes
5harmony||Yes
5accomplish||Yes
5universal||Yes
5american||Yes
5hallucination||Yes
5hyporosis||No
5repulf||No
5alanco||No
5commuser||No
5connecy||No
5assiliple||No
5capisol||No
5afrocave||No
5veasily||No
5esorlous||No
5comisil||No
5fersicuum||No
5pefensive||No
5funshire||No
5invipon||No
5anafomy||No
5foletion||No
5casimo||No
5commiffee||No
5vameness||No
5hawvish||No
5sympavy||No
5creror||No
5ophanic||No
5zanfarin||No
5faserial||No
5anyrow||No
5luvasive||No
5compoosion||No
5sorifon||No
5uncerfin||No
5salvary||No
5vumorous||No
5afome||No
5fralivil||No
5renesiv||No
5imanery||No
5ronaly||No
5cluffly||No
5hoiver||No
5usopia||No
5crovacy||No
5vircular||No
5smerio||No
5simery||No
